"","Item","IPIP100","BFAS","HEXACO","QB6","MPQ","IPIPneo","EPQr","PS"
"q_79","Am an extraordinary person.","NULL","NULL","NULL","QB6:O","NULL","NULL","NULL","NULL"
"q_80","Am annoyed by others' mistakes.","NULL","NULL","H:A:FL","NULL","NULL","NULL","NULL","NULL"
"q_82","Am attached to conventional ways.","NULL","NULL","NULL","NULL","NULL","O4:AD","NULL","NULL"
"q_85","Am calm even in tense situations.","NULL","NULL","NULL","NULL","NULL","N6:VU","NULL","NULL"
"q_89","Am comfortable in unfamiliar situations.","NULL","NULL","NULL","NULL","NULL","N4:SC","NULL","NULL"
"q_90","Am concerned about others.","NULL","NULL","NULL","NULL","NULL","A3:AL","NULL","NULL"
"q_94","Am considered to be kind of eccentric.","NULL","NULL","H:O:U","NULL","NULL","NULL","NULL","NULL"
"q_98","Am deeply moved by others' misfortunes.","NULL","NULL","H:E:S","NULL","NULL","NULL","NULL","NULL"
"q_101","Am easily annoyed.","NULL","NULL","H:A:P","NULL","NULL","NULL","NULL","NULL"
"q_105","Am easily discouraged.","NULL","BFAS:N:W","NULL","NULL","NULL","NULL","NULL","NULL"
"q_107","Am easily distracted.","NULL","BFAS:C:I","NULL","NULL","NULL","NULL","NULL","NULL"
"q_108","Am easily disturbed.","B5:ES","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_114","Am easily intimidated.","NULL","NULL","NULL","NULL","NULL","N4:SC","NULL","NULL"
"q_121","Am easy to satisfy.","NULL","NULL","NULL","NULL","NULL","A4:CO","NULL","NULL"
"q_124","Am exacting in my work.","B5:C","NULL","H:C:D","NULL","MPQ:CO","NULL","NULL","NULL"
"q_126","Am filled with doubts about things.","NULL","BFAS:N:W","NULL","NULL","MPQ:SR","NULL","NULL","NULL"
"q_128","Am full of ideas.","B5:O","NULL","H:O:C","NULL","NULL","NULL","NULL","NULL"
"q_131","Am good at making impromptu speeches.","NULL","NULL","H:X:SB","NULL","MPQ:SP","NULL","NULL","PS:P"
"q_132","Am good at many things.","B5:O","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_134","Am good at taking advice.","NULL","NULL","H:A:FL","NULL","NULL","NULL","NULL","NULL"
"q_139","Am hard to convince.","NULL","NULL","H:A:FL","NULL","NULL","NULL","NULL","NULL"
"q_140","Am hard to get to know.","B5:A","BFAS:E:E","H:X:S","NULL","MPQ:SC","E1:FR","NULL","NULL"
"q_141","Am hard to reason with.","NULL","NULL","H:A:FL","NULL","NULL","NULL","NULL","NULL"
"q_142","Am hard to satisfy.","NULL","NULL","H:A:FL","NULL","NULL","NULL","NULL","NULL"
"q_145","Am inclined to forgive others.","NULL","NULL","H:A:FO","QB6:A","NULL","NULL","NULL","NULL"
"q_146","Am indifferent to the feelings of others.","B5:A","BFAS:A:C","NULL","NULL","NULL","A3:AL","NULL","NULL"
"q_148","Interested in many things.","NULL","NULL","NULL","NULL","NULL","O4:AD","NULL","PS:P"
"q_150","Am interested in people.","B5:A","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_151","Am interested in science.","NULL","NULL","H:O:I","NULL","NULL","NULL","NULL","NULL"
"q_152","Am just an ordinary person.","NULL","NULL","H:H:M","NULL","NULL","NULL","NULL","NULL"
"q_154","Am likely to show off if I get the chance.","NULL","NULL","H:H:M","NULL","NULL","NULL","NULL","NULL"
"q_156","Am mainly interested in money.","NULL","NULL","H:H:GA","NULL","NULL","NULL","NULL","NULL"
"q_157","Am more capable than most others.","NULL","NULL","H:H:M","NULL","NULL","NULL","NULL","NULL"
"q_158","Am never at a loss for words.","NULL","NULL","H:X:E","NULL","NULL","NULL","NULL","NULL"
"q_159","Am nice to people I should be angry at.","NULL","NULL","H:A:FO","NULL","NULL","NULL","NULL","NULL"
"q_163","Am not always honest with myself.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_164","Am not always what I appear to be.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_168","Am not bothered by difficult social situations.","NULL","NULL","NULL","NULL","NULL","N4:SC","NULL","NULL"
"q_169","Am not bothered by disorder.","NULL","BFAS:C:O","H:C:O","NULL","NULL","C2:OR","NULL","NULL"
"q_170","Am not bothered by messy people.","NULL","BFAS:C:O","NULL","NULL","NULL","C2:OR","NULL","NULL"
"q_174","Am not easily affected by my emotions.","NULL","NULL","NULL","NULL","NULL","O3:EM","NULL","NULL"
"q_175","Am not easily amused.","NULL","NULL","NULL","NULL","NULL","E6:CH","NULL","NULL"
"q_176","Am not easily annoyed.","NULL","BFAS:N:V","NULL","NULL","NULL","N2:ANG","NULL","NULL"
"q_177","Am not easily bothered by things.","B5:ES","NULL","NULL","NULL","MPQ:SR","N1:ANX","NULL","NULL"
"q_179","Am not easily disturbed by events.","NULL","NULL","H:E:A","NULL","NULL","N1:ANX","NULL","NULL"
"q_184","Am not embarrassed easily.","NULL","BFAS:N:W","NULL","NULL","NULL","N4:SC","NULL","NULL"
"q_185","Am not good at deceiving other people.","NULL","NULL","NULL","QB6:H","NULL","NULL","NULL","NULL"
"q_191","Am not highly motivated to succeed.","NULL","NULL","NULL","NULL","MPQ:AC","C4:AS","NULL","NULL"
"q_194","Am not interested in abstract ideas.","B5:O","NULL","NULL","NULL","NULL","O5:IN","NULL","NULL"
"q_195","Am not interested in other people's problems.","B5:A","BFAS:A:C","NULL","NULL","NULL","A6:SY","NULL","NULL"
"q_197","Am not interested in theoretical discussions.","NULL","NULL","NULL","NULL","NULL","O5:IN","NULL","NULL"
"q_200","Am not really interested in others.","B5:A","NULL","NULL","NULL","NULL","E1:FR","NULL","NULL"
"q_201","Am not sure where my life is going.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_206","Am often down in the dumps.","NULL","NULL","NULL","NULL","NULL","N3:DE","NULL","NULL"
"q_208","Am often in a bad mood.","NULL","NULL","NULL","NULL","MPQ:WB","N2:ANG","NULL","NULL"
"q_217","Am on good terms with nearly everyone.","B5:A","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_219","Am open about my feelings.","NULL","NULL","NULL","NULL","MPQ:SC","NULL","NULL","NULL"
"q_225","Am out for my own personal gain.","NULL","BFAS:A:P","H:H:GA","NULL","NULL","NULL","NULL","NULL"
"q_228","Am passionate about causes.","NULL","NULL","NULL","NULL","NULL","O3:EM","NULL","NULL"
"q_238","Am quick to correct others.","NULL","NULL","NULL","QB6:A","NULL","NULL","NULL","NULL"
"q_239","Am quick to judge others.","NULL","NULL","H:A:G","NULL","NULL","NULL","NULL","NULL"
"q_240","Am quick to understand things.","B5:O","BFAS:O:I","NULL","NULL","NULL","NULL","NULL","NULL"
"q_241","Am quiet around strangers.","B5:E","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_248","Am relaxed most of the time.","B5:ES","NULL","NULL","NULL","MPQ:SR","N1:ANX","NULL","NULL"
"q_251","Am seldom bothered ... suffering of strangers.","NULL","NULL","H:E:S","NULL","NULL","NULL","NULL","NULL"
"q_253","Am sensitive to the needs of others.","NULL","NULL","H:E:S","NULL","NULL","NULL","NULL","NULL"
"q_254","Am skilled in handling social situations.","B5:E","NULL","NULL","NULL","NULL","NULL","NULL","PS:P"
"q_258","Am sure of my ground.","NULL","NULL","NULL","NULL","NULL","C1:SE","NULL","NULL"
"q_260","Am the first to act.","NULL","BFAS:E:A","NULL","NULL","NULL","NULL","NULL","NULL"
"q_262","Am the life of the party.","B5:E","NULL","H:X:E","NULL","NULL","NULL","NULL","NULL"
"q_278","Am usually a patient person.","NULL","NULL","H:A:P","QB6:A","NULL","NULL","NULL","NULL"
"q_279","Am usually active and full of energy.","NULL","NULL","H:X:L","NULL","NULL","NULL","NULL","NULL"
"q_285","Am very pleased with myself.","NULL","NULL","NULL","NULL","NULL","N3:DE","NULL","NULL"
"q_286","Am wary of others.","NULL","NULL","NULL","NULL","MPQ:AL","A1:TR","NULL","NULL"
"q_292","Am willing to take risks.","NULL","NULL","H:E:F","NULL","NULL","NULL","NULL","NULL"
"q_294","Am willing to try anything once.","NULL","NULL","NULL","NULL","MPQ:HA","E5:ES","NULL","NULL"
"q_296","Amuse my friends.","NULL","NULL","NULL","NULL","NULL","E6:CH","NULL","NULL"
"q_298","Anticipate the needs of others.","NULL","NULL","NULL","NULL","NULL","A3:AL","NULL","NULL"
"q_312","Avoid company.","NULL","NULL","NULL","NULL","MPQ:SC","NULL","NULL","NULL"
"q_313","Avoid contacts with others.","NULL","NULL","NULL","NULL","MPQ:SC","E1:FR","NULL","NULL"
"q_314","Avoid crowds.","NULL","NULL","NULL","NULL","NULL","E2:GR","NULL","NULL"
"q_315","Avoid dangerous situations.","NULL","NULL","NULL","NULL","MPQ:HA","NULL","NULL","NULL"
"q_316","Avoid difficult reading material.","B5:O","BFAS:O:I","H:O:I","NULL","NULL","O5:IN","NULL","NULL"
"q_319","Avoid imposing my will on others.","NULL","BFAS:A:P","NULL","NULL","NULL","NULL","NULL","NULL"
"q_321","Avoid mistakes.","NULL","NULL","H:C:PR","NULL","NULL","C6:CA","NULL","NULL"
"q_322","Avoid philosophical discussions.","NULL","BFAS:O:I","NULL","NULL","NULL","O5:IN","NULL","NULL"
"q_331","[A]ngry w people...don't live up to my expectations.","NULL","NULL","H:A:G","QB6:A","NULL","NULL","NULL","NULL"
"q_332","Become overwhelmed by events.","NULL","BFAS:N:W","NULL","NULL","NULL","N6:VU","NULL","NULL"
"q_334","Begin to panic when there is danger.","NULL","NULL","H:E:F","NULL","NULL","NULL","NULL","NULL"
"q_339","Believe in an eye for an eye.","NULL","NULL","NULL","NULL","NULL","A6:SY","NULL","NULL"
"q_343","Believe in human goodness.","NULL","NULL","NULL","NULL","NULL","A1:TR","NULL","NULL"
"q_345","Believe in one true religion.","NULL","NULL","NULL","NULL","MPQ:TR","O6:LI","NULL","NULL"
"q_348","Believe in the importance of art.","NULL","BFAS:O:O","H:O:A","QB6:O","MPQ:TR","O2:AI","NULL","NULL"
"q_359","Believe that criminals should receive help rather than punishment.","NULL","NULL","NULL","NULL","MPQ:TR","O6:LI","NULL","NULL"
"q_364","Believe that I am better than others.","NULL","BFAS:A:P","H:H:M","NULL","NULL","A5:MO","NULL","NULL"
"q_369","Believe laws should be strictly enforced.","NULL","NULL","NULL","NULL","MPQ:TR","O6:LI","NULL","NULL"
"q_377","Believe that others have good intentions.","NULL","NULL","NULL","NULL","NULL","A1:TR","NULL","NULL"
"q_379","Believe that people are basically moral.","NULL","NULL","NULL","NULL","NULL","A1:TR","NULL","NULL"
"q_381","Believe that people are essentially evil.","NULL","NULL","NULL","NULL","NULL","A1:TR","NULL","NULL"
"q_383","Believe people should fend for themselves.","NULL","NULL","NULL","NULL","NULL","A6:SY","NULL","NULL"
"q_393","Believe there is never an excuse for lying.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_394","Believe that there is no absolute right and wrong.","NULL","NULL","NULL","NULL","MPQ:TR","O6:LI","NULL","NULL"
"q_395","Believe that too much tax money goes to support artists.","NULL","NULL","NULL","NULL","NULL","O6:LI","NULL","NULL"
"q_397","Believe that we coddle criminals too much.","NULL","NULL","NULL","NULL","NULL","O6:LI","NULL","NULL"
"q_398","Believe that we should be tough on crime.","NULL","NULL","NULL","NULL","MPQ:TR","O6:LI","NULL","NULL"
"q_401","Boast about my virtues.","NULL","NULL","H:H:M","NULL","NULL","A5:MO","NULL","NULL"
"q_403","Bottle up my feelings.","B5:E","NULL","H:X:E","NULL","NULL","NULL","NULL","NULL"
"q_404","Break my promises.","NULL","NULL","NULL","NULL","NULL","C3:DU","NULL","NULL"
"q_405","Break rules.","NULL","NULL","NULL","NULL","NULL","C3:DU","NULL","NULL"
"q_413","Can be stirred up easily.","NULL","BFAS:N:V","NULL","NULL","NULL","NULL","NULL","NULL"
"q_422","Can handle a lot of information.","B5:O","BFAS:O:I","NULL","NULL","NULL","O5:IN","NULL","NULL"
"q_423","Can handle complex problems.","NULL","NULL","NULL","NULL","NULL","N6:VU","NULL","NULL"
"q_429","Can manage many things at the same time.","NULL","NULL","NULL","NULL","NULL","E4:AL","NULL","NULL"
"q_438","Can say things beautifully.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:P"
"q_455","Can talk others into doing things.","NULL","BFAS:E:A","NULL","NULL","MPQ:SP","E3:AS","NULL","NULL"
"q_460","Can't be bothered with other's needs.","NULL","BFAS:A:C","NULL","NULL","NULL","NULL","NULL","NULL"
"q_463","Can't do without the company of others.","NULL","NULL","H:E:D","NULL","NULL","NULL","NULL","NULL"
"q_469","Can't make up my mind.","NULL","NULL","NULL","NULL","NULL","N6:VU","NULL","NULL"
"q_477","Can't stand being contradicted.","NULL","NULL","H:A:FL","NULL","NULL","NULL","NULL","NULL"
"q_479","Can't stand confrontations.","NULL","NULL","NULL","NULL","NULL","A4:CO","NULL","NULL"
"q_487","Can't stand weak people.","NULL","NULL","NULL","NULL","NULL","A6:SY","NULL","NULL"
"q_491","Carry out my plans.","NULL","BFAS:C:I","NULL","NULL","NULL","C5:SD","NULL","NULL"
"q_492","Carry the conversation to a higher level.","B5:O","NULL","H:O:C","NULL","NULL","NULL","NULL","PS:P"
"q_493","Catch on to things quickly.","B5:O","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_497","Change my mood a lot.","B5:ES","BFAS:N:V","NULL","NULL","NULL","NULL","NULL","NULL"
"q_500","Cheat on people who have trusted me.","NULL","NULL","H:H:F","NULL","NULL","NULL","NULL","NULL"
"q_501","Cheat to get ahead.","NULL","NULL","H:H:F","NULL","MPQ:AG","A2:MO","NULL","NULL"
"q_505","Cheer people up.","NULL","NULL","NULL","NULL","NULL","E1:FR","NULL","NULL"
"q_507","Choose my words with care.","NULL","NULL","NULL","NULL","NULL","C6:CA","NULL","NULL"
"q_515","Come up with good solutions.","NULL","NULL","NULL","NULL","NULL","C1:SE","NULL","NULL"
"q_516","Come up with something new.","NULL","NULL","H:O:C","NULL","NULL","NULL","NULL","NULL"
"q_519","Complete my duties as soon as possible.","NULL","NULL","NULL","QB6:C","NULL","NULL","NULL","NULL"
"q_520","Complete tasks successfully.","NULL","NULL","H:C:D","NULL","NULL","C1:SE","NULL","NULL"
"q_525","Consider myself an average person.","NULL","NULL","H:H:M","NULL","NULL","A5:MO","NULL","NULL"
"q_530","Continue until everything is perfect.","B5:C","NULL","H:C:PE","NULL","MPQ:AC","NULL","NULL","NULL"
"q_531","Contradict others.","NULL","NULL","NULL","NULL","NULL","A4:CO","NULL","NULL"
"q_538","Criticize others' shortcomings.","NULL","NULL","H:A:G","NULL","NULL","NULL","NULL","NULL"
"q_539","Cry during movies.","NULL","NULL","H:E:S","NULL","NULL","NULL","NULL","NULL"
"q_549","Demand a lot from others.","NULL","NULL","NULL","QB6:ES","NULL","NULL","NULL","NULL"
"q_554","Demand quality.","NULL","NULL","H:C:PE","NULL","NULL","C4:AS","NULL","NULL"
"q_559","Detect mistakes.","NULL","NULL","H:C:PE","NULL","NULL","NULL","NULL","NULL"
"q_565","Dislike being the center of attention.","NULL","NULL","NULL","NULL","NULL","A5:MO","NULL","NULL"
"q_566","Dislike changes.","NULL","NULL","NULL","NULL","NULL","O4:AD","NULL","NULL"
"q_571","Dislike imperfect work.","NULL","NULL","H:C:PE","NULL","NULL","NULL","NULL","NULL"
"q_576","Dislike loud music.","NULL","NULL","NULL","NULL","NULL","E5:ES","NULL","NULL"
"q_578","Dislike myself.","NULL","NULL","NULL","NULL","MPQ:AL","N3:DE","NULL","NULL"
"q_581","Dislike new foods.","NULL","NULL","NULL","NULL","NULL","O4:AD","NULL","NULL"
"q_582","Dislike routine.","NULL","BFAS:C:O","NULL","NULL","NULL","NULL","NULL","NULL"
"q_586","Dislike talking about myself.","NULL","NULL","NULL","NULL","NULL","A5:MO","NULL","NULL"
"q_594","Distrust people.","NULL","NULL","H:A:FO","NULL","MPQ:AL","A1:TR","NULL","NULL"
"q_595","Do a lot in my spare time.","NULL","NULL","NULL","NULL","NULL","E4:AL","NULL","NULL"
"q_598","Do crazy things.","NULL","NULL","NULL","NULL","MPQ:HA","C6:CA","NULL","NULL"
"q_599","Do dangerous things.","NULL","NULL","NULL","NULL","MPQ:HA","NULL","NULL","NULL"
"q_602","Do just enough work to get by.","NULL","NULL","H:C:D","NULL","MPQ:AC","C4:AS","NULL","NULL"
"q_604","Do more than what's expected of me.","NULL","NULL","NULL","NULL","MPQ:AC","C4:AS","NULL","NULL"
"q_607","Do not enjoy going to art museums.","NULL","NULL","NULL","NULL","NULL","O2:AI","NULL","NULL"
"q_608","Do not enjoy watching dance performances.","NULL","NULL","H:O:A","NULL","NULL","O2:AI","NULL","NULL"
"q_609","Do not have a good imagination.","B5:O","NULL","H:O:C","NULL","NULL","O1:IM","NULL","NULL"
"q_610","Do not like art.","NULL","NULL","H:O:A","NULL","MPQ:AB","O2:AI","NULL","NULL"
"q_611","Do not like concerts.","NULL","NULL","H:O:A","NULL","NULL","O2:AI","NULL","NULL"
"q_612","Do not like poetry.","NULL","BFAS:O:O","H:O:A","NULL","MPQ:AB","O2:AI","NULL","NULL"
"q_618","Do the opposite of what is asked.","NULL","NULL","NULL","NULL","NULL","C3:DU","NULL","NULL"
"q_619","Do things according to a plan.","B5:C","NULL","H:C:PR","NULL","NULL","C2:OR","NULL","NULL"
"q_623","Do things by the book.","NULL","NULL","NULL","NULL","MPQ:CO","NULL","NULL","NULL"
"q_626","Do things in a half-way manner.","B5:C","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_630","Do things out of revenge.","NULL","NULL","NULL","NULL","MPQ:AG","NULL","NULL","NULL"
"q_632","Do things I later regret.","NULL","NULL","NULL","NULL","NULL","N5:IM","NULL","NULL"
"q_634","Do things that others find strange.","NULL","NULL","H:O:U","NULL","NULL","NULL","NULL","NULL"
"q_636","Do things without thinking of the consequences.","NULL","NULL","H:C:PR","NULL","NULL","NULL","NULL","NULL"
"q_637","Do too little work.","NULL","NULL","H:C:D","NULL","MPQ:AC","NULL","NULL","NULL"
"q_646","Don't always practice what I preach.","NULL","NULL","NULL","NULL","MPQ:UV","NULL","NULL","NULL"
"q_651","Don't [worry about] political and social problems.","NULL","NULL","H:O:I","NULL","NULL","NULL","NULL","NULL"
"q_660","Don't consider myself religious.","NULL","NULL","NULL","NULL","MPQ:TR","NULL","NULL","NULL"
"q_665","Don't finish the things that I start.","NULL","NULL","H:C:O","NULL","NULL","NULL","NULL","NULL"
"q_668","Don't have a soft side.","NULL","BFAS:A:C","NULL","NULL","NULL","NULL","NULL","NULL"
"q_670","Don't know much about history.","NULL","NULL","H:O:I","NULL","NULL","NULL","NULL","NULL"
"q_673","Don't know why I do some of the things I do.","NULL","NULL","H:C:PR","NULL","NULL","N5:IM","NULL","NULL"
"q_684","Don't like crowded events.","NULL","NULL","NULL","NULL","NULL","E2:GR","NULL","NULL"
"q_689","Don't like the idea of change.","NULL","NULL","NULL","NULL","NULL","O4:AD","NULL","NULL"
"q_690","Don't like to draw attention to myself.","B5:E","NULL","H:X:E","NULL","MPQ:SP","E3:AS","NULL","NULL"
"q_698","Don't mind being the center of attention.","B5:E","NULL","H:X:SB","NULL","NULL","NULL","NULL","PS:P"
"q_704","Don't pretend to be more than I am.","NULL","NULL","H:H:S","NULL","NULL","NULL","NULL","NULL"
"q_706","Don't put my mind on the task at hand.","NULL","BFAS:C:I","NULL","NULL","NULL","NULL","NULL","NULL"
"q_708","Don't see the consequences of things.","NULL","NULL","NULL","NULL","NULL","C1:SE","NULL","NULL"
"q_711","Don't strive for elegance in my appearance.","NULL","NULL","H:H:GA","NULL","NULL","NULL","NULL","NULL"
"q_712","Don't talk a lot.","B5:E","NULL","H:X:E","NULL","NULL","NULL","NULL","NULL"
"q_716","Don't think that I'm better than other people.","NULL","NULL","H:H:M","NULL","NULL","NULL","NULL","NULL"
"q_721","Don't understand people who get emotional.","NULL","NULL","H:E:S","NULL","NULL","O3:EM","NULL","NULL"
"q_722","Don't understand things.","NULL","NULL","NULL","NULL","NULL","C1:SE","NULL","NULL"
"q_727","Don't worry about things that have already happened.","NULL","NULL","H:E:A","NULL","MPQ:SR","N1:ANX","NULL","NULL"
"q_736","Easily resist temptations.","NULL","NULL","NULL","NULL","NULL","N5:IM","NULL","NULL"
"q_740","Engage in discussions.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:P"
"q_744","Enjoy being part of a group.","NULL","NULL","H:X:S","NULL","MPQ:SC","E2:GR","NULL","NULL"
"q_745","Enjoy being part of a loud crowd.","NULL","NULL","NULL","NULL","NULL","E5:ES","NULL","NULL"
"q_746","Enjoy being reckless.","NULL","NULL","NULL","NULL","MPQ:HA","E5:ES","NULL","NULL"
"q_747","Enjoy being thought of as a normal ""mainstream"" person.","NULL","NULL","H:O:U","NULL","NULL","NULL","NULL","NULL"
"q_755","Enjoy examining myself and my life.","NULL","NULL","NULL","NULL","NULL","O3:EM","NULL","NULL"
"q_757","Enjoy feeling ""close to the earth.""","NULL","NULL","H:O:A","NULL","NULL","NULL","NULL","NULL"
"q_761","Enjoy intellectual games.","NULL","NULL","H:O:I","NULL","NULL","NULL","NULL","NULL"
"q_776","Enjoy the beauty of nature.","NULL","BFAS:O:O","NULL","NULL","NULL","O2:AI","NULL","NULL"
"q_778","Enjoy thinking about things.","NULL","NULL","NULL","NULL","NULL","O5:IN","NULL","NULL"
"q_780","Enjoy wild flights of fantasy.","NULL","NULL","NULL","NULL","MPQ:AB","O1:IM","NULL","NULL"
"q_786","Excel in what I do.","NULL","NULL","NULL","NULL","MPQ:AC","C1:SE","NULL","NULL"
"q_793","Experience my emotions intensely.","NULL","NULL","NULL","NULL","NULL","O3:EM","NULL","NULL"
"q_797","Experience very few emotional highs and lows.","NULL","NULL","NULL","NULL","NULL","O3:EM","NULL","NULL"
"q_799","Express childlike joy.","NULL","NULL","NULL","NULL","NULL","E6:CH","NULL","NULL"
"q_803","Express myself easily.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:P"
"q_804","Face danger confidently.","NULL","NULL","H:E:F","NULL","NULL","NULL","NULL","NULL"
"q_808","Fear for the worst.","NULL","NULL","NULL","NULL","NULL","N1:ANX","NULL","NULL"
"q_811","Feel a sense of worthlessness or hopelessness.","NULL","NULL","NULL","QB6:ES","NULL","NULL","NULL","NULL"
"q_815","Feel at ease with people.","B5:E","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_816","Feel attacked by others.","NULL","NULL","NULL","NULL","MPQ:AL","NULL","NULL","NULL"
"q_819","Feel comfortable around people.","B5:E","NULL","H:X:SB","NULL","NULL","E1:FR","NULL","NULL"
"q_820","Feel comfortable with myself.","NULL","BFAS:N:W","NULL","NULL","MPQ:SR","N3:DE","NULL","NULL"
"q_824","Feel desperate.","NULL","NULL","NULL","NULL","NULL","N3:DE","NULL","PS:S"
"q_832","Feel healthy and vibrant most of the time.","NULL","NULL","H:X:L","NULL","NULL","NULL","NULL","NULL"
"q_838","Feel little concern for others.","B5:A","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"q_839","Feel lucky most of the time.","NULL","NULL","NULL","NULL","MPQ:WB","NULL","NULL","NULL"
"q_844","Feel others' emotions.","B5:A","BFAS:A:C","H:E:S","NULL","NULL","O3:EM","NULL","NULL"
"q_848","Feel short-changed in life.","NULL","NULL","NULL","NULL","MPQ:AL","NULL","NULL","NULL"
"q_851","Feel sympathy for those who are worse off than myself.","NULL","NULL","NULL","NULL","NULL","A6:SY","NULL","NULL"
"q_861","Feel that I have a lot of inner strength.","NULL","NULL","H:X:L","NULL","NULL","NULL","NULL","NULL"
"q_867","Feel that I'm unable to deal with things.","NULL","NULL","NULL","NULL","NULL","N6:VU","NULL","NULL"
"q_871","Feel that most people can't be trusted.","NULL","NULL","H:A:FO","NULL","NULL","NULL","NULL","NULL"
"q_875","Feel that my life lacks direction.","NULL","NULL","NULL","NULL","MPQ:WB","N3:DE","NULL","PS:S"
"q_878","Feel that others misunderstand me.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_880","Feel that people are against me.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PS:S"
"q_882","Feel that people have a hard time understanding me.","NULL","NULL","NULL","NULL","MPQ:AL","NULL","NULL","PS:S"
"q_890","Feel threatened easily.","B5:ES","BFAS:N:W","NULL","NULL","NULL","NULL","NULL","NULL"
"q_898","Find fault with everything.","NULL","NULL","H:A:G","NULL","NULL","NULL","NULL","NULL"
"q_901","Find it difficult to approach others.","B5:E","NULL","H:X:SB","NULL","NULL","N4:SC","NULL","NULL"
"q_904","Find it difficult to get down to work.","B5:C","BFAS:C:I","NULL","NULL","NULL","C5:SD","NULL","NULL"
"q_905","Find it difficult to manipulate others.","NULL","NULL","NULL","NULL","MPQ:SP","NULL","NULL","NULL"
"q_915","Find it hard to forgive others.","NULL","NULL","H:A:FO","NULL","NULL","NULL","NULL","NULL"
